dataset	cel file	cell line
Krupp13	BT-20_SS331465_HG-U133_Plus_2_HCHP-182965_.CEL	BT20
Krupp13	BT-20_SS331466_HG-U133_Plus_2_HCHP-182966_.CEL	BT20
Krupp13	BT-20_SS331467_HG-U133_Plus_2_HCHP-182967_.CEL	BT20
Krupp13	BT474_brst_SS117188_HG-U133_Plus_2_HCHP-85191_.CEL	BT474
Krupp13	BT474_brst_SS117189_HG-U133_Plus_2_HCHP-85192_.CEL	BT474
Krupp13	BT474_brst_SS117190_HG-U133_Plus_2_HCHP-85193_.CEL	BT474
Krupp13	DU4475_SS331509_HG-U133_Plus_2_HCHP-172126_.CEL	DU4475
Krupp13	DU4475_SS331510_HG-U133_Plus_2_HCHP-172127_.CEL	DU4475
Krupp13	DU4475_SS331511_HG-U133_Plus_2_HCHP-172128_.CEL	DU4475
Krupp13	EFM-19_SS335853_HG-U133_Plus_2_HCHP-172129_.CEL	EFM19
Krupp13	EFM-19_SS335854_HG-U133_Plus_2_HCHP-172130_.CEL	EFM19
Krupp13	EFM-19_SS335855_HG-U133_Plus_2_HCHP-172131_.CEL	EFM19
Krupp13	HCC1143_SS272501_HG-U133_Plus_2_HCHP-170301_.CEL	HCC1143
Krupp13	HCC1143_SS272502_HG-U133_Plus_2_HCHP-170302_.CEL	HCC1143
Krupp13	HCC1143_SS272503_HG-U133_Plus_2_HCHP-170303_.CEL	HCC1143
Krupp13	HCC1395_SS331377_HG-U133_Plus_2_HCHP-209551_.CEL	HCC1395
Krupp13	HCC1395_SS331378_HG-U133_Plus_2_HCHP-209552_.CEL	HCC1395
Krupp13	HCC1395_SS331379_HG-U133_Plus_2_HCHP-209553_.CEL	HCC1395
Krupp13	HCC1599_SS331381_HG-U133_Plus_2_HCHP-172135_.CEL	HCC1599
Krupp13	HCC1599_SS331382_HG-U133_Plus_2_HCHP-172136_.CEL	HCC1599
Krupp13	HCC1599_SS331383_HG-U133_Plus_2_HCHP-172137_.CEL	HCC1599
Krupp13	HCC1937_SS125587_HG-U133_Plus_2_HCHP-95936_.CEL	HCC1937
Krupp13	HCC1937_SS125588_HG-U133_Plus_2_HCHP-95937_.CEL	HCC1937
Krupp13	HCC1937_SS125589_HG-U133_Plus_2_HCHP-95938_.CEL	HCC1937
Krupp13	HCC1954_brst_SS110844_HG-U133_Plus_2_HCHP-74903_.CEL	HCC1954
Krupp13	HCC1954_brst_SS110845_HG-U133_Plus_2_HCHP-74905_.CEL	HCC1954
Krupp13	HCC1954_brst_SS110846_HG-U133_Plus_2_HCHP-74904_.CEL	HCC1954
Krupp13	HCC2157_SS331385_HG-U133_Plus_2_HCHP-172138_.CEL	HCC2157
Krupp13	HCC2157_SS331386_HG-U133_Plus_2_HCHP-172139_.CEL	HCC2157
Krupp13	HCC2157_SS331387_HG-U133_Plus_2_HCHP-172140_.CEL	HCC2157
Krupp13	HCC2218_SS272505_HG-U133_Plus_2_HCHP-182977_.CEL	HCC2218
Krupp13	HCC2218_SS272506_HG-U133_Plus_2_HCHP-182978_.CEL	HCC2218
Krupp13	HCC2218_SS272507_HG-U133_Plus_2_HCHP-182979_.CEL	HCC2218
Krupp13	HCC38_SS272509_HG-U133_Plus_2_HCHP-182980_.CEL	HCC38
