"id","name","replicate"
1,MCF7,14
2,BT474,13
3,MDAMB453,13
4,T47D,13
5,BT20,12
6,BT549,11
7,HCC1937,11
8,HCC1954,11
9,HCC38,11
10,HS578T,11
11,SKBR3,11
12,UACC812,10
13,HCC1143,9
14,HCC1806,9
15,HCC2218,9
16,MDAMB231,9
17,DU4475,8
18,HCC1395,8
19,HCC70,8
20,MDAMB436,8
21,MDAMB468,8
22,UACC893,8
23,AU565,7
24,CAL51,7
25,HCC1419,7
26,HCC1500,7
27,KPL1,7
28,MDAMB415,7
29,ZR751,7
30,CAMA1,6
31,EFM19,6
32,HCC1428,5
33,HCC1569,5
34,MDAMB157,5
35,MT3,5
36,CAL851,4
37,HCC1187,4
38,HCC1599,4
39,HCC2157,4
40,MCF10A,4
41,MDA435,4
42,MDAMB175,4
43,MDAMB175VII,4
44,MDAMB361,4
45,ZR7530,4
46,BT474EI,3
47,BT483,3
48,CAL120,3
49,EFM192A,3
50,HCC202,3
51,JIMT1,3
52,MX1,3
53,SUM52PE,3
54,CAL148,2
55,COLO824,2
56,EVSA,2
57,EVSAT,2
58,HDQP1,2
59,MDAMB134VI,2
60,SUM149PT,2
61,SUM159PT,2
62,SUM225CWN,2
63,ZRT,2
64,"184A1",1
65,"184B5",1
66,BRCAMZ01,1
67,BT474.TB,1
68,BT474C1,1
69,BT5491,1
70,CAL1201,1
71,EVSA1,1
72,HMC18,1
73,HME1,1
74,HMEL,1
75,HS274.T,1
76,HS281.T,1
77,HS343.T,1
78,HS606.T,1
79,HS739.T,1
80,HS742.T,1
81,KPL4,1
82,MCF12A,1
83,MCF7MDRPOS,1
84,MDA175,1
85,MDA231,1
86,MDA361,1
87,MDA436,1
88,MDA468,1
89,MDAMB134,1
90,MDAMB361.1,1
91,MDAMB435S,1
92,MFM223,1
93,S68,1
94,SKBR31,1
95,SKBR7,1
96,SUM1315MO2,1
97,SUM149,1
98,SUM185,1
99,SUM185PE,1
100,SUM190,1
101,SUM225,1
102,SUM52,1
103,SW527,1
104,T47D1,1
105,YMB1,1
106,ZR75,1
