id,class,classmixed,classcore,classification,distance,created_at,updated_at
1,mApo,mApo,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
2,basL,basL,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
3,lumB,lumB,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
4,lumB,lumBC,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
5,lumB,mApolumB,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
6,mApo,mApolumB,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
7,mApo,basLmApo,NA,,,2018-03-28 07:19:42,2018-03-28 07:19:42
8,basL,basLmApo,NA,,,2018-03-28 07:19:43,2018-03-28 07:19:43
9,mApo,mApolumBC,NA,,,2018-03-28 07:19:43,2018-03-28 07:19:43
10,lumC,lumC,NA,,,2018-03-28 07:19:43,2018-03-28 07:19:43
11,basL,basL,basL,,,2018-03-28 07:19:44,2018-03-28 07:19:44
12,mApo,mApolumC,NA,,,2018-03-28 07:19:44,2018-03-28 07:19:44
13,lumC,mApolumC,NA,,,2018-03-28 07:19:44,2018-03-28 07:19:44
