id,hugo,info,entrez,created_at,updated_at
1,COPZ1,,22818,14/05/18 17:56,15/05/18 10:13
2,IGFBP6,,3489,,
3,TGFB1I1,,7041,,
4,RRP1B,,23076,,
5,NPY1R,,4886,,
6,FGG,,2266,,
7,CYP1A1,,1543,,
8,SRRM2,,23524,,
9,TOP2A,,7153,,
10,GNPTAB,,79158,,
11,TK1,,7083,,
12,GPT,,2875,,
13,AVPR2,,554,,
14,ICAM1,,3383,,
15,ARHGDIA,,396,,
16,NOS1,,4842,,
17,KLK6,,5653,,
18,TOB2,,10766,,
19,SNRPC,,6631,,
20,PDE5A,,8654,,
21,SMAD7,,4092,,
22,MSMO1,,6307,,
23,TCF19,,6941,,
24,KCNN4,,3783,,
25,SAA1,,6288,,
26,KCNK3,,3777,,
27,FABP5,,2171,,
28,IGHA2,,3494,,
29,FABP4,,2167,,
30,MYL9,,10398,,
31,LIN28A,,79727,,
32,MYB,,4602,,
33,LOC654056,,654056,,
34,DKK1,,22943,,
35,IGFBP2,,3485,,
36,SH3BGR,,6450,,
37,CHI3L1,,1116,,
38,MMP1,,4312,,
39,ST3GAL2,,6483,,
40,SDC4,,6385,,
41,PAX1,,5075,,
42,QTRT1,,81890,,
43,RAB4B,,53916,,
44,CCL20,,6364,,
45,BMPR1B,,658,,
46,FOS,,2353,,
47,ACTA2,,59,,
48,F3,,2152,,
49,EFR3A,,23167,,
50,CYP24A1,,1591,,
51,TGM5,,9333,,
52,ENO2,,2026,,
53,ZNF236,,7776,,
54,HSPA6,,3310,,
55,PLAT,,5327,,
56,MMP13,,4322,,
57,GBP1,,2633,,
58,KBTBD11,,9920,,
59,NUAK2,,81788,,
60,TNFRSF11B,,4982,,
61,CXCR7,,57007,,
62,ENPEP,,2028,,
63,PMEPA1,,56937,,
64,BBC3,,27113,,
65,SERPINB2,,5055,,
66,SLC6A15,,55117,,
67,INHBB,,3625,,
68,KIAA0319L,,79932,,
69,SUZ12,,23512,,
70,MAFK,,7975,,
71,CCL15,,6359,,
72,GM2A,,2760,,
73,KRT18P51,,391703,,
74,CDH16,,1014,,
75,LAIR2,,3904,,
76,PRKCA,,5578,,
77,PLEKHF1,,79156,,
78,RAG1,,5896,,
79,CHAC1,,79094,,
80,RPS4Y1,,6192,,
81,IL32,,9235,,
82,C19orf28,,126321,,
83,IGLV2-14,,28815,,
84,BCL3,,602,,
85,ADM,,133,,
86,ETV4,,2118,,
87,TTR,,7276,,
88,SERPINE1,,5054,,
89,OTX2,,5015,,
90,CALML4,,91860,,
91,SLC39A8,,64116,,
92,IFI27,,3429,,
93,DDIT4,,54541,,
94,SLC17A6,,57084,,
95,CSF2,,1437,,
96,PTHLH,,5744,,
97,PCDH8,,5100,,
98,INHBE,,83729,,
99,EEF1A2,,1917,,
100,CR2,,1380,,
101,LRBA,,987,,
102,DNAJB5,,25822,,
103,RBP4,,5950,,
104,OPN1MW,,2652,,
105,ERMAP,,114625,,
106,NRL,,4901,,
107,FABP7,,2173,,
108,CNGA1,,1259,,
109,BHLHE40,,8553,,
110,PMM1,,5372,,
111,TXNRD3,,114112,,
112,PRC1,,9055,,
113,USP18,,11274,,
114,CASP7,,840,,
115,DIO2,,1734,,
116,C3,,718,,
117,NEUROD6,,63974,,
118,GAL3ST1,,9514,,
119,CA3,,761,,
120,CCL2,,6347,,
121,EYA1,,2138,,
122,EGR1,,1958,,
123,CDKN1C,,1028,,
124,EGR2,,1959,,
125,ID2B,,84099,,
126,VDR,,7421,,
127,NFKBIA,,4792,,
128,MPI,,4351,,
129,LY86,,9450,,
130,LARP6,,55323,,
131,ACOX2,,8309,,
132,SEMA3C,,10512,,
133,HSD11B1,,3290,,
134,MTO1,,25821,,
135,HIST1H3B,,8358,,
136,C12orf5,,57103,,
137,TGFA,,7039,,
138,GJB6,,10804,,
139,RND3,,390,,
140,RXFP1,,59350,,
141,MPEG1,,219972,,
142,DBF4B,,80174,,
143,GPR25,,2848,,
144,PTGS2,,5743,,
145,IL1RL1,,9173,,
146,ELL2,,22936,,
147,FZD6,,8323,,
148,IER3,,8870,,
149,SLC11A2,,4891,,
150,LOC729779,,729779,,
151,AMOTL2,,51421,,
152,TXLNG2P,,246126,,
153,KRT13,,3860,,
154,IL13RA2,,3598,,
155,LY6D,,8581,,
156,PAQR6,,79957,,
157,TREM2,,54209,,
158,FGF9,,2254,,
159,RRAD,,6236,,
160,APOBEC3G,,60489,,
161,AGR2,,10551,,
162,RBP1,,5947,,
163,C10orf46,,143384,,
164,HLA-DQB1,,3119,,
165,CXCL5,,6374,,
166,HES1,,3280,,
167,PDZK1,,5174,,
168,CEACAM5,,1048,,
169,KIAA1217,,56243,,
170,TINF2,,26277,,
171,DOK1,,1796,,
172,E2F8,,79733,,
173,KRT17,,3872,,
174,PIGO,,84720,,
175,TNFAIP2,,7127,,
176,CD9,,928,,
177,KIF1A,,547,,
178,COX17,,10063,,
179,HDAC2,,3066,,
180,LOC678655,,678655,,
