pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Amplification of signal from the kinetochores	1.53760993911065e-05	0.000286638764815531	0.682852669059497	2.74834977446257	0	75	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|19053|73804|60411|208628|228421|68014|12236|18817|66934|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|75786|69736|70385|26932|68549|232987|69928|68097
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	1.53760993911065e-05	0.000286638764815531	0.682852669059497	2.74834977446257	0	75	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|19053|73804|60411|208628|228421|68014|12236|18817|66934|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|75786|69736|70385|26932|68549|232987|69928|68097
Metabolism of nucleotides	1.5639417588089e-05	0.000286638764815531	0.6301218287919	2.46481194357181	0	64	12495|93692|22271|21877|20133|20135|22436|381101|110074|18950|11639|11565|18102|22166|80914|14782|171567|15452|53893|320685|67054|23959|11636|11486|76952|50493|56045|11821|22171|17766|229363|13178
Cell Cycle	1.22132929480447e-05	0.000286638764815531	0.546930968632724	2.7384262044331	0	393   66336|66977|15366|12442|107995|66442|12571|12428|52276|54392|66311|215387|67629|54124|12649|72415|56150|57441|20877|67121|12615|11799|66468|67849|19053|73804|76044|20878|15270|13555|60411|12580|17219|69270|12575|69263|12448|14211|20873|18005|72119|71988|12189|17215|12534|66156|208628|237911|22390|68240|228421|68014|269582|19348|12236|72151|18817|21781|18968|217653|66934|272551|227613|67141|68612|68298|108000|23834|106344|56452|242705|18141|223921|26886|13557|26909|72787|268697|72155|56371|17535|107823|12531|327762|12567|229841|67052|16319|66634|26931|67203|12235|19891|74470|72083|381318|66570|17216|19687|17218|102920|29870|18973|16881|17463|75786|19645|19075|26417|69736|19357|76816|70385|70645|22628|225182|22627|52683|19076|18972|231863|26932|12544|17997|26440|68549|19088|269113|26444|19324|103733|59001|107976|19179|12579|232987|17420|228769|219072|26445|105988|69745|18538|69928|11651|235559|68097|57296|14235|19170|17246|17220|12144|50793|18392|236930|67151|70024|59126|66296|109145|71819|67733|50883|12447|75430|12532|14156|26442|19177|230376|245688
Telomere C-strand (Lagging Strand) Synthesis	1.72917639328388e-05	0.000286638764815531	0.729907321979503	2.31057427968842	0	24	69263|68240|72151|18968|106344|327762|19891|19687|18973|16881|19075|19076|18972|59001|69745|18538|14156|18971|19718|18969
Activation of ATR in response to replication stress	1.67187735107753e-05	0.000286638764815531	0.693613225514781	2.37768859008453	0	34	12649|17219|69263|17215|68240|269582|72151|23834|106344|56452|66634|19891|17216|17218|12544|17220|50793|18392|70024|12532|19718
Cholesterol biosynthesis	1.74486573258188e-05	0.000286638764815531	0.775117241545339	2.40060399044097	0	22	110196|13121|20775|110460|208715|14137|15357|235293|16987|66234|319554|15490|68603|192156
Signaling by Rho GTPases	1.30824982338627e-05	0.000286638764815531	0.415134763217904	1.98891485244918	0	248	66336|66977|20430|104215|233406|107995|66442|52276|67629|71435|72415|218581|56150|12385|20877|12615|11799|66468|19053|73910|73804|26934|60411|208628|228421|68014|12236|18817|66934|16443|108000|26886|14570|57257|72155|229841|67052|17207|16319|26931|12704|67203|18645|12235|381318|66570|228482|102920|544963|75786|17970|26417|69736|70385|22628|14569|22627|56378|404710|26932
RHO GTPase Effectors	1.3880791760362e-05	0.000286638764815531	0.499039164829742	2.27712149080612	0	167	66336|66977|20430|233406|107995|66442|52276|67629|72415|56150|12385|20877|12615|11799|66468|19053|73804|60411|208628|228421|68014|12236|18817|66934|108000|26886|72155|229841|67052|16319|26931|12704|67203|18645|12235|381318|66570|102920|544963|75786|17970|26417|69736|70385|22628|22627|56378|404710|26932|68549|232987|11835|11853|69928|68097
Separation of Sister Chromatids	1.4347819848774e-05	0.000286638764815531	0.586861588812097	2.58824256998377	0	131	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|67849|19053|73804|60411|66156|208628|228421|68014|12236|18817|66934|68612|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|17463|75786|69736|19357|70385|26932|26440|68549|26444|19179|232987|228769|26445|105988|69928|68097|57296|19170
