NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
TCN1	null	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	10.026773
SKAP1	null	SKAP1	src kinase associated phosphoprotein 1	9.030996
FAM3B	null	FAM3B	family with sequence similarity 3, member B	8.96403
SLC6A14	null	SLC6A14	solute carrier family 6 (amino acid transporter), member 14	8.829245
NPY1R	null	NPY1R	neuropeptide Y receptor Y1	8.766928
MPPED2	null	MPPED2	metallophosphoesterase domain containing 2	8.553559
PGR	null	PGR	progesterone receptor	8.330734
SCGB2A2	null	SCGB2A2	secretoglobin, family 2A, member 2	8.090983
RAI2	null	RAI2	retinoic acid induced 2	7.8884554
ALOX15B	null	ALOX15B	arachidonate 15-lipoxygenase, type B	7.879788
COLEC12	null	COLEC12	collectin sub-family member 12	7.6473293
LOC439936	null	null	null	7.557076
RBM20	null	RBM20	RNA binding motif protein 20	7.534213
NRK	null	NRK	Nik related kinase	7.5198345
NRCAM	null	NRCAM	neuronal cell adhesion molecule	7.136961
FLJ12993	null	FLJ12993	-	7.015806
LOC646360 /// LOC651	null	null	null	6.98011
IKZF3	null	IKZF3	IKAROS family zinc finger 3 (Aiolos)	6.952411
TFF1	null	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	6.8847127
GREB1	null	GREB1	-	6.852899
STXBP4	null	STXBP4	syntaxin binding protein 4	6.803893
SCGB1D2	null	SCGB1D2	secretoglobin, family 1D, member 2	6.677886
TMEM46	null	TMEM46	transmembrane protein 46	6.560263
BCMP11	null	BCMP11	-	6.555117
SBEM	null	SBEM	-	6.405746
TRGC2 /// TRGV2 ///	null	null	null	6.405663
MXRA5	null	MXRA5	matrix-remodelling associated 5	6.273577
PKIA	null	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	6.216538
DOK5	null	DOK5	docking protein 5	6.2105837
IRX4	null	IRX4	iroquois homeobox protein 4	6.1816735
FBXL20	null	FBXL20	F-box and leucine-rich repeat protein 20	6.1240144
PDLIM3	null	PDLIM3	PDZ and LIM domain 3	6.1176286
CXORF10 /// LOC64817	null	null	null	5.978738
LIN7A	null	LIN7A	lin-7 homolog A (C. elegans)	5.9488955
ALDH3B2	null	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	5.929458
TFF3	null	TFF3	trefoil factor 3 (intestinal)	5.9132404
ANKRD30A	null	ANKRD30A	ankyrin repeat domain 30A	5.88346
PREX1	null	PREX1	-	5.881023
FREM2	null	FREM2	FRAS1 related extracellular matrix protein 2	5.875877
KM-HN-1	null	KM-HN-1	-	5.837906
DHRS2	null	DHRS2	dehydrogenase/reductase (SDR family) member 2	5.7951655
HMGCS2	null	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	5.7729535
AMY1A /// AMY1B ///	null	null	null	5.7582507
CRIP1	null	CRIP1	cysteine-rich protein 1 (intestinal)	5.7442646
TEX14	null	TEX14	testis expressed sequence 14	5.713729
CBLN2	null	CBLN2	cerebellin 2 precursor	5.6960196
LRRN1	null	LRRN1	leucine rich repeat neuronal 1	5.6844893
ASCL2	null	ASCL2	achaete-scute complex-like 2 (Drosophila)	5.6454988
LOC401233	null	LOC401233	-	5.638977
BMP7	null	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	5.6285386
