NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
RP13-36C9.1 /// RP13	null	null	null	9.641737
MMP20	null	MMP20	matrix metallopeptidase 20 (enamelysin)	9.492541
PCDHB5	null	PCDHB5	protocadherin beta 5	9.342542
ADAMTS5	null	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	9.169839
DSG1	null	DSG1	desmoglein 1	8.873617
HMCN1	null	HMCN1	hemicentin 1	8.679721
SUSD5	null	SUSD5	sushi domain containing 5	8.568978
ENPP6	null	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	8.5199
MMP7	null	MMP7	matrix metallopeptidase 7 (matrilysin, uterine)	8.479281
HEPH	null	HEPH	hephaestin	8.402257
EN1	null	EN1	engrailed homolog 1	8.330877
PCDHB10	null	PCDHB10	protocadherin beta 10	8.290558
GJB6	null	GJB6	gap junction protein, beta 6 (connexin 30)	8.283527
BCHE	null	BCHE	butyrylcholinesterase	8.251074
CXCL6	null	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	8.1715975
PCDHB7	null	PCDHB7	protocadherin beta 7	8.149104
PCDH8	null	PCDH8	protocadherin 8	8.127531
DSG3	null	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	8.064221
TUBB2B	null	TUBB2B	tubulin, beta 2B	7.969449
FBXL13	null	FBXL13	F-box and leucine-rich repeat protein 13	7.957784
PCDHB16	null	PCDHB16	protocadherin beta 16	7.9437513
ANPEP	null	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	7.8928304
TMEM100	null	TMEM100	transmembrane protein 100	7.8372307
HORMAD1	null	HORMAD1	HORMA domain containing 1	7.8142576
FLJ10781	null	FLJ10781	-	7.7324944
TSPAN2	null	TSPAN2	tetraspanin 2	7.6926184
CRISPLD1	null	CRISPLD1	cysteine-rich secretory protein LCCL domain containing 1	7.581603
QPCT	null	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	7.4666886
COL9A3	null	COL9A3	collagen, type IX, alpha 3	7.4452
PCDHB4	null	PCDHB4	protocadherin beta 4	7.364739
SPARC	null	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	7.249737
NPR3	null	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	7.240655
PTPN20B /// PTPN20A	null	null	null	7.184355
GJB2	null	GJB2	gap junction protein, beta 2, 26kDa (connexin 26)	7.179186
LOC401233	null	LOC401233	-	7.162948
CDH19	null	CDH19	cadherin 19, type 2	7.150624
CTGF	null	CTGF	connective tissue growth factor	7.122769
ACTA1	null	ACTA1	actin, alpha 1, skeletal muscle	7.107522
ZNF560	null	ZNF560	zinc finger protein 560	7.0942206
ADAMTS1	null	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	7.0717893
ELN	null	ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	7.0485773
PROM1	null	PROM1	prominin 1	7.0391164
PCDHB6	null	PCDHB6	protocadherin beta 6	6.972664
ANGPT1	null	ANGPT1	angiopoietin 1	6.969085
COL8A1	null	COL8A1	collagen, type VIII, alpha 1	6.9568458
GLIS3	null	GLIS3	GLIS family zinc finger 3	6.951413
CRYAB	null	CRYAB	crystallin, alpha B	6.930908
CTHRC1	null	CTHRC1	collagen triple helix repeat containing 1	6.9303436
RGC32	null	RGC32	-	6.8733
LOC51334	null	null	null	6.8510866
NDN	null	NDN	necdin homolog (mouse)	6.82444
DSC3	null	DSC3	desmocollin 3	6.7903967
LY75	null	LY75	lymphocyte antigen 75	6.789322
C8ORF47	null	C8ORF47	chromosome 8 open reading frame 47	6.785172
SLFN13	null	SLFN13	schlafen family member 13	6.726628
TGFB1I1	null	TGFB1I1	transforming growth factor beta 1 induced transcript 1	6.7131343
BMP2	null	BMP2	bone morphogenetic protein 2	6.6160564
TRIM43 /// LOC653192	null	null	null	6.588054
TRIM48	null	TRIM48	tripartite motif-containing 48	6.5594306
LOC440416	null	LOC440416	-	6.556136
PRTFDC1	null	PRTFDC1	phosphoribosyl transferase domain containing 1	6.5497146
LPPR4	null	LPPR4	-	6.549244
KLK5	null	KLK5	kallikrein 5	6.5143967
C10ORF21	null	C10ORF21	chromosome 10 open reading frame 21	6.4897428
FAM38B	null	FAM38B	family with sequence similarity 38, member B	6.4636
PLXDC2	null	PLXDC2	plexin domain containing 2	6.453858
FOXL2	null	FOXL2	forkhead box L2	6.430075
VANGL2	null	VANGL2	vang-like 2 (van gogh, Drosophila)	6.417146
ACTA2	null	ACTA2	actin, alpha 2, smooth muscle, aorta	6.386189
CST6	null	CST6	cystatin E/M	6.3829613
ZNF334	null	ZNF334	zinc finger protein 334	6.3816915
ADAMTS3	null	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3	6.375977
SLITRK6	null	SLITRK6	SLIT and NTRK-like family, member 6	6.3659835
TNC	null	TNC	tenascin C (hexabrachion)	6.36183
LOC642730	null	LOC642730	-	6.3466716
KRT5	null	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	6.3416505
MAGEA4	null	MAGEA4	melanoma antigen family A, 4	6.2932734
WFDC2	null	WFDC2	WAP four-disulfide core domain 2	6.282474
PCDH18	null	PCDH18	protocadherin 18	6.2725987
UCHL1	null	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	6.2707224
PRSS12	null	PRSS12	protease, serine, 12 (neurotrypsin, motopsin)	6.2672205
SPESP1	null	SPESP1	sperm equatorial segment protein 1	6.181371
KCTD12	null	KCTD12	potassium channel tetramerisation domain containing 12	6.1802993
ID4	null	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	6.131687
PGM5P1	null	PGM5P1	phosphoglucomutase 5 pseudogene 1	6.1225767
PCDHB2	null	PCDHB2	protocadherin beta 2	6.116575
LRCH2	null	LRCH2	leucine-rich repeats and calponin homology (CH) domain containing 2	6.116527
MGC23985	null	MGC23985	-	6.115546
FREM3	null	FREM3	FRAS1 related extracellular matrix 3	6.109987
TPTE	null	TPTE	transmembrane phosphatase with tensin homology	6.08469
FLJ35848	null	FLJ35848	-	6.0751185
SLFN11	null	SLFN11	schlafen family member 11	6.0582843
