NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
DCDC2	null	DCDC2	doublecortin domain containing 2	7.001418
ADAMTS19	null	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	6.699461
CA2	null	CA2	carbonic anhydrase II	6.655794
EGR3	null	EGR3	early growth response 3	6.63888
SLC7A2	null	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	6.6151147
RLN2	null	RLN2	relaxin 2	6.1269197
NUP210L	null	NUP210L	nucleoporin 210kDa-like	6.0864143
GFRA1	null	GFRA1	GDNF family receptor alpha 1	6.0818477
CCDC83	null	CCDC83	coiled-coil domain containing 83	5.7839904
ENPEP	null	ENPEP	glutamyl aminopeptidase (aminopeptidase A)	5.73613
TMEM83	null	TMEM83	transmembrane protein 83	5.727016
BCAS3	null	BCAS3	breast carcinoma amplified sequence 3	5.6767263
LOC143381	null	LOC143381	-	5.674176
LOC645722	null	LOC645722	-	5.635945
BRIP1	null	BRIP1	BRCA1 interacting protein C-terminal helicase 1	5.527017
LXN	null	LXN	latexin	5.4932556
TBX2	null	TBX2	T-box 2	5.4897985
DOK7	null	DOK7	docking protein 7	5.322807
C6ORF97	null	C6ORF97	chromosome 6 open reading frame 97	5.2014
NRCAM	null	NRCAM	neuronal cell adhesion molecule	5.1803665
SGCG	null	SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	5.1616874
AREG /// LOC653193	null	null	null	5.118049
DDX43	null	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	5.0668736
SYTL2	null	SYTL2	synaptotagmin-like 2	5.0540495
SLC27A2	null	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	5.0239124
LONRF2	null	LONRF2	LON peptidase N-terminal domain and ring finger 2	4.9993176
PDGFRL	null	PDGFRL	platelet-derived growth factor receptor-like	4.974125
B3GALNT1	null	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	4.8136687
ESR1	null	ESR1	estrogen receptor 1	4.7867327
SCUBE2	null	SCUBE2	signal peptide, CUB domain, EGF-like 2	4.7632575
ABAT	null	ABAT	4-aminobutyrate aminotransferase	4.762101
GNA14	null	GNA14	guanine nucleotide binding protein (G protein), alpha 14	4.738761
PARD6B	null	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	4.713672
ST8SIA4	null	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	4.711536
CBFA2T3	null	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	4.6995254
GAL	null	GAL	galanin	4.6559496
TPTE	null	TPTE	transmembrane phosphatase with tensin homology	4.634356
GRB14	null	GRB14	growth factor receptor-bound protein 14	4.606552
PPM1D	null	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	4.568114
GREB1	null	GREB1	-	4.5669084
ABCG2	null	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	4.562257
TMEM64	null	TMEM64	transmembrane protein 64	4.558144
FLJ12993	null	FLJ12993	-	4.551209
PKIB	null	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	4.532026
TUBD1	null	TUBD1	tubulin, delta 1	4.499558
BMP7	null	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	4.4894514
UGT2B15	null	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15	4.45307
FAM83B	null	FAM83B	family with sequence similarity 83, member B	4.434421
HHEX	null	HHEX	homeobox, hematopoietically expressed	4.380207
FLJ45983	null	FLJ45983	-	4.3740873
SATB2	null	SATB2	SATB family member 2	4.3721423
DSCAM	null	DSCAM	Down syndrome cell adhesion molecule	4.349321
