NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
TFAP2B	null	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	11.088202
FAM5C	null	FAM5C	family with sequence similarity 5, member C	9.508875
PPAPDC1A	null	PPAPDC1A	phosphatidic acid phosphatase type 2 domain containing 1A	9.175409
CLCA2	null	CLCA2	chloride channel, calcium activated, family member 2	9.126338
LRRC31	null	LRRC31	leucine rich repeat containing 31	9.089031
TCAM1	null	TCAM1	testicular cell adhesion molecule 1 homolog (mouse)	8.860794
NRK	null	NRK	Nik related kinase	8.61881
ANKRD30A	null	ANKRD30A	ankyrin repeat domain 30A	8.3592005
LOC646360 /// LOC651	null	null	null	8.220466
FLJ38379	null	FLJ38379	-	8.195738
TEX9	null	TEX9	testis expressed sequence 9	8.131535
DACH1	null	DACH1	dachshund homolog 1 (Drosophila)	7.609014
LOC440331	null	LOC440331	-	7.5717897
LOC347475	null	LOC347475	-	7.566715
RNF128	null	RNF128	ring finger protein 128	7.446395
SLFN13	null	SLFN13	schlafen family member 13	7.336617
CALML5	null	CALML5	calmodulin-like 5	7.3007145
NKX2-2	null	NKX2-2	NK2 transcription factor related, locus 2 (Drosophila)	7.2791033
NR2F1	null	NR2F1	nuclear receptor subfamily 2, group F, member 1	7.2454176
FGFR4	null	FGFR4	fibroblast growth factor receptor 4	7.186277
CHST1	null	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	6.9731116
FAM79B	null	FAM79B	family with sequence similarity 79, member B	6.899576
LRRN1	null	LRRN1	leucine rich repeat neuronal 1	6.883626
TCBA1	null	TCBA1	T-cell lymphoma breakpoint associated target 1	6.861205
SIX2	null	SIX2	sine oculis homeobox homolog 2 (Drosophila)	6.856194
SLC16A6	null	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	6.7823
RP11-130N24.1	null	RP11-130N24.1	-	6.5260797
KIF5C	null	KIF5C	kinesin family member 5C	6.5030155
