ENTREZID	SYMBOL
7175	TPR
3840	KPNA4
9972	NUP153
3838	KPNA2
8480	RAE1
5903	RANBP2
3836	KPNA1
23636	NUP62
8021	NUP214
55746	NUP133
9688	NUP93
4927	NUP88
4928	NUP98
11097	NUPL2
5610	EIF2AK2
9818	NUP58
9883	POM121
9636	ISG15
3841	KPNA5
9631	NUP155
10898	CPSF4
3837	KPNB1
23165	NUP205
23225	NUP210
23511	NUP188
23279	NUP160
10762	NUP50
53371	NUP54
79902	NUP85
55706	NDC1
8086	AAAS
79023	NUP37
57122	NUP107
348995	NUP43
3839	KPNA3
81929	SEH1L
129401	NUP35
11168	PSIP1
2547	XRCC6
7518	XRCC4
3159	HMGA1
3981	LIG4
7520	XRCC5
8815	BANF1
5634	PRPS2
5631	PRPS1
221823	PRPS1L1
126792	B3GALT6
9672	SDC3
64132	XYLT2
633	BGN
6382	SDC1
3339	HSPG2
1634	DCN
6385	SDC4
2817	GPC1
26229	B3GAT3
1462	VCAN
1464	CSPG4
2239	GPC4
1463	NCAN
10675	CSPG5
2262	GPC5
2719	GPC3
6383	SDC2
375790	AGRN
64131	XYLT1
63827	BCAN
27087	B3GAT1
11285	B4GALT7
10082	GPC6
135152	B3GAT2
221914	GPC2
2987	GUK1
124	ADH1A
5105	PCK1
22978	NT5C2
161823	ADAL
6581	SLC22A3
6580	SLC22A1
6582	SLC22A2
9429	ABCG2
5243	ABCB1
5423	POLB
328	APEX1
5716	PSMD10
9861	PSMD6
10060	ABCC9
19	ABCA1
5244	ABCB4
6233	RPS27A
5690	PSMB2
7314	UBB
10956	OS9
5695	PSMB7
5720	PSME1
5714	PSMD8
5708	PSMD2
5689	PSMB1
5710	PSMD4
10197	PSME3
9491	PSMF1
5701	PSMC2
5688	PSMA7
5707	PSMD1
5719	PSMD13
5704	PSMC4
5702	PSMC3
5686	PSMA5
5683	PSMA2
5709	PSMD3
5691	PSMB3
5684	PSMA3
5682	PSMA1
5706	PSMC6
5713	PSMD7
6400	SEL1L
5692	PSMB4
7979	SEM1
5718	PSMD12
10613	ERLIN1
5699	PSMB10
10058	ABCB6
5685	PSMA4
5711	PSMD5
5826	ABCD4
5700	PSMC1
5698	PSMB9
21	ABCA3
1080	CFTR
215	ABCD1
6440	SFTPC
1244	ABCC2
5715	PSMD9
8647	ABCB11
7415	VCP
5717	PSMD11
5693	PSMB5
5694	PSMB6
7316	UBC
5696	PSMB8
5705	PSMC5
6439	SFTPB
6833	ABCC8
23198	PSME4
10213	PSMD14
6441	SFTPD
26154	ABCA12
79139	DERL1
51009	DERL2
64240	ABCG5
11160	ERLIN2
7311	UBA52
27248	ERLEC1
91445	RNF185
91319	DERL3
3767	KCNJ11
64241	ABCG8
143471	PSMA8
5825	ABCD3
5824	PEX19
8504	PEX3
335	APOA1
9619	ABCG1
225	ABCD2
64137	ABCG4
20	ABCA2
23461	ABCA5
23460	ABCA6
10347	ABCA7
