id,class,correlation,pval,created_at,updated_at
1,BL2,"0,218","0,002",2018-03-28 07:19:55,2018-03-28 07:19:55
2,ER positive,,,2018-03-28 07:19:55,2018-03-28 07:19:55
3,BL2,"0,233","0,002",2018-03-28 07:19:55,2018-03-28 07:19:55
4,M,"0,334",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
5,LAR,"0,358",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
6,BL1,"0,159","0,034",2018-03-28 07:19:55,2018-03-28 07:19:55
7,M,"0,269",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
8,M,"0,306",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
9,BL1,"0,493",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
10,BL1,"0,526",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
11,BL2,"0,307",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
12,BL2,"0,375",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
13,BL2,"0,316",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
14,BL2,"0,268","0,001",2018-03-28 07:19:55,2018-03-28 07:19:55
15,BL2,"0,432",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
16,BL2,"0,364",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
17,LAR,"0,355",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
18,M,"0,391",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
19,BL2,"0,387",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
20,MSL,"0,349",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
21,MSL,"0,346",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
22,LAR,"0,187",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
23,MSL,"0,157",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
24,MSL,"0,134",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
25,MSL,"0,239",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
26,MSL,"0,119",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
27,LAR,"0,49",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
28,LAR,"0,391",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
29,BL1,"0,242","0,007",2018-03-28 07:19:55,2018-03-28 07:19:55
30,LAR,"0,138",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
31,LAR,"0,33",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
32,LAR,"0,301",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
33,LAR,"0,356",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
34,MSL,"0,216","0,001",2018-03-28 07:19:55,2018-03-28 07:19:55
35,BL2,"0,216",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
36,LAR,"0,415",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
37,BL2,"0,119","0,016",2018-03-28 07:19:55,2018-03-28 07:19:55
38,BL1,"0,665",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
39,MSL,"0,488","0,009",2018-03-28 07:19:55,2018-03-28 07:19:55
40,M,"0,293",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
41,IM,"0,178",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
42,LAR,"0,48",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
43,MSL,"0,464","0,046",2018-03-28 07:19:55,2018-03-28 07:19:55
44,LAR,"0,43",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
45,BL2,"0,359",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
46,LAR,"0,422",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
47,BL2,"0,19","0,01",2018-03-28 07:19:55,2018-03-28 07:19:55
48,BL2,"0,161","0,039",2018-03-28 07:19:55,2018-03-28 07:19:55
49,LAR,"0,36",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
50,BL1,"0,297",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
51,BL1,"0,253",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
52,BL1,"0,56",<0.001,2018-03-28 07:19:55,2018-03-28 07:19:55
